business_id,avg_rating,no_of_words,no_of_reviews,unique_no_of_food_entities,no_of_food_entities
L7xHcco1yNpWkVlsv4lODQ,3.5,4572,39,203,608
h3la53L9-OX_HlfeAySh0Q,2.5,1951,11,115,343
cKQn19-p4FtLIR4IaP6xuw,3.0,4499,38,238,911
-GZsHVDlI6wvLsgD1Yaj0g,4.0,30062,231,542,4095
TyWhulwEZaHZUAXYDI4IRg,3.0,395,7,47,80
O-ylVyHn6e6kaoJO-jHj-w,3.0,7101,53,291,1157
DC4KDCCrScdImsJoCikkZQ,3.5,2250,20,128,378
xvCWAzIS_EpTwDIUVhY_Og,3.5,651,8,43,99
AKot3AMTqwCvhmF3D7gfSw,3.0,5050,39,250,855
h8vo2cBL9mE7Ar0qc0oD0A,2.0,589,5,34,97
9hP6hRDuX1QVWZEjUTVo_A,3.5,967,8,69,206
GsNwdJXtvPP5534_huTeSA,2.0,299,4,19,36
nCeeguQS-MHQRifOpKzwUg,2.5,767,7,61,135
HMijMsCdGqFPGa8R3wdNhA,3.5,36,1,6,6
LqiVRX8nCWC47P5zBtOOvg,3.5,197,3,25,29
4aF5k-3YNNj8l2xOrEe9vA,3.0,257,4,18,42
6Uo2X3Sq2yRIznyMHIrZtw,3.5,1668,10,143,316
HhRsdzXs__gDxZ7K3RWLdg,4.0,358,3,98,111
kTJVeXRCIdBv7OuOUXmvTA,3.5,203,3,25,42
CB8p5dGrqZxc06vs_xDOHw,4.0,1815,11,151,418
SQ2yRmUEev5rWQBjFWVssQ,2.5,2740,27,200,493
9ruymMHTR2Houoz-dt3RBQ,4.5,128,4,14,18
SH5CRaWsgDh47QicsBr_8A,4.0,2075,22,321,630
lO5orbaGXXlz7jcdke-uaw,4.0,984,11,94,157
8ktREOIxt3kRdJpJK7jpfA,5.0,13650,155,361,2699
u72jN4ZEvwbUA35vQX8-ag,4.0,814,10,41,107
bGj9djLAHjNR55OXsIDrAg,2.5,44293,372,905,7485
vPFiYlgyTpoqonN3rZkJhg,3.0,1321,10,49,161
wgSCc7Ut2C4OkmvoeSLIrQ,3.5,6857,57,231,968
RmCLbnuKQcfRSHQsbXFAZg,4.0,13071,118,669,2657
V49TGT1rEp0SIytUFEJctw,3.5,1824,19,233,369
p0GA5IkkFpVH-4WLoSOfhQ,4.5,None,None,None,None
5VLZsa0Q4PKXK8UMB_VoYg,3.5,1029,4,86,223
BkRnVd0B3y7Nd3VoIvn99w,5.0,386,4,25,53
OWYyMYDl5RoRnjew7nTGmQ,5.0,339,3,37,55
McRjMy-3YgkR7lO1QFfpoQ,4.5,1497,15,91,278
KoMjD6HgdR_lnFxbTOwZdA,3.5,1254,6,93,259
-NvziNlXkm-WNK4TtTs46w,3.5,229,3,31,44
uKN9qKI9_FUJya2tQc2S_Q,4.5,31,1,10,11
eD2np2oaT6GOoa4H2FUiaQ,3.5,2264,19,135,337
Y2ClurK-CH47qiaxwyu4WQ,4.0,1142,19,261,360
W1bqn7-MGgUxCcUv0VGMOg,3.0,310,4,22,49
qOOlgwxhgjYPIkHBSA6TfA,3.5,332,3,14,29
Zd4fDGXFTnPP36_KDTuyhg,2.5,6952,76,264,1440
nIX7WiUPekK5YpiRQorxlQ,3.5,10024,106,342,1913
AyvyWENKpPBOFnFFkZuAyQ,4.0,3595,35,153,597
DGtOkc0KNTyK8rDkmsPNYw,4.0,25154,175,720,4918
je1q1LWWHP8xMKKBb0egfw,1.5,1262,11,51,144
DfJRq4pqowfdTB4iTAENjQ,4.0,4978,49,203,984
C4WKOmFlw9UHTe6AYaC_ig,4.0,1126,6,67,190
wn2rSHNUDewPO7r5uWU4Yg,2.5,3926,51,170,796
LnBP-kMYE2TnaEZus7t37A,3.5,543,4,29,43
9wWLF9R90BCWr6lCnj5WzQ,3.0,5386,40,174,830
fcNzMlSgf_E7q7PnURbYpA,4.0,1404,9,121,233
FaFR-cMtfRgKk7NCRcZmYQ,2.5,1038,13,79,177
1a1WNQw-0lwjl2FBapFbHA,4.0,355,4,31,59
tlex-h7TJ-b2X8cLCIfunQ,4.0,1041,12,104,228
5cybURsCTS0zHH5Qbu0sDQ,3.5,11955,101,399,2482
2xf0BwWMLhAZojYNAHR6Gw,3.0,418,3,61,93
nqA8UMaFc9rhd178cCcGlQ,4.5,None,None,None,None
8nRhFwOzqFbMGb3JpHBowQ,2.5,531,5,52,101
QewqdVnhmYsxzHe5Vtlq6w,2.0,152,4,14,26
gnf-gwVLckuKdOaUqvVXng,3.5,620,5,76,126
Ls6GT_UCd5azhp0gW2hZTg,4.0,1923,26,130,352
Co6lXEvFstMSBFbZqHmA2Q,3.5,499,3,71,119
6PFPQeCM-XDrZRy0DHV2Yw,3.5,5179,45,262,993
mUraT4u496wxdlNaLmjnlg,3.5,3686,38,225,757
GJKeYVxt8rPmApzr4Qq5qw,4.5,169,3,10,15
f67EBuoqqgW4h1OcG_K7kA,3.0,618,7,46,99
u-0MhE9XQkPq0L167gF-Xg,3.5,3169,31,194,710
lIzzx-ZqLQ18CW-GNTiQLQ,3.5,825,9,62,129
WyJRPTn2FCFdj2cYT9pqyw,3.5,8624,84,281,1558
LDvfJ8qo2njU9KY5gNMpyQ,3.0,1773,16,88,365
aQ7UI3BIDR35BxmtahckZA,3.5,2015,28,140,436
t0kOxDicguJ1KZqm9FJKkw,4.5,328,7,85,105
ThceQHR0yiCx5J1hbphF9g,2.0,376,6,35,75
wKSupdOGziF7c4ZzvQpfug,4.5,409,5,45,77
L8STRioAgDx-_FRFuuUU2Q,4.0,4683,71,209,849
2pjLeLgjPJYelEiuWFYB-g,3.5,5633,43,286,1167
sGU0dlsT_zXBW1m_lVLsxg,4.0,4300,42,197,874
6itthWLttScSvbM698Ux3w,4.5,504,5,52,104
uULnedGyZbuYPRn8dEN-oQ,3.5,188,3,41,50
QXnWy1Jk8VfmG4RDW9MqTg,3.0,1591,18,75,288
flTg6a9p4iK3Mhm3DA2tAg,3.5,490,8,43,94
1gKBusJMk66ypwEKF0vOAA,3.5,9099,65,413,1801
wd3nrdoEpikmGcf4NX0ziA,4.5,4412,55,175,878
FG_GRMLSj68ximzfrr9eWw,3.0,17578,146,428,2794
r_nzxK8pAOOpEM-tRPHXKQ,2.5,1188,12,72,223
JnmRYpMIo6dXQj_Q4MEG9A,3.0,None,None,None,None
ZkVsZQgPqC_I6HGB_Up0gg,4.5,3740,45,223,730
unUnBwaCwXWco2fCynC4pg,3.0,366,4,25,55
biXLMur413xefp9eTGnUGg,3.5,2649,30,141,517
K7Kxz1FX-VLPflPJgqqbGQ,4.0,3079,34,167,585
4_IPjeZZ87LPiXkKDHx2-A,3.5,8093,65,281,1496
IS9ZqBV6R0olC_OYv-vGjQ,4.0,235,4,28,41
mgN7A6Uw8ObmoTNZvx6VOg,4.0,22351,179,629,4061
XUYbXm4ZmF_IlZ440HZjpw,4.0,5300,57,191,958
CN6AB-R4OLsKxFhQ1Kk68g,3.5,1910,22,65,212
dcZ2Hmy57aVWfZh1Hk1Njg,2.0,621,4,29,90
1Kcg-u0tDxHdyHIyEkMMqA,3.0,3085,30,82,299
mcndrzyp9FxX2SKXSEhpFQ,3.0,1907,13,219,398
io-DMLbRaUEdjqXmKjXsQw,3.5,6030,50,265,1104
W9oFbcGKloLUpuALxzcQdw,4.5,79,3,9,11
ivDYcIU0vSCf5u3509KydQ,3.5,146,2,8,11
2QM258ooYpYecyt7tTwOMA,3.5,1138,13,88,223
t1XhXY-Vt4K1OPLkuOcsfg,3.0,1005,11,76,220
ZlgR0fUI2zbIv7VnpmWObg,3.0,780,8,79,145
COzxp1zY_Eb8eXMOMlJwXg,3.0,592,8,57,141
-TDNmBuVIywhoVLvWOnjFQ,4.0,1043,8,88,176
RfKEXSlrDNYqpwyo_HbRGQ,3.5,148,3,9,25
Q2LRId2kvf7KLgNCShyfBA,2.5,262,4,13,28
-lM-2nuo2PWM_VbG6h1g1Q,4.0,3864,26,240,692
Ir2mw-tp-80rlwAMxxO_VA,4.0,8164,76,313,1360
n5eQnMnVVt3FfrFENYoU0g,3.5,50799,476,834,10015
Jge6Oit_JdTkkJ6UzhWVNA,3.0,1060,16,64,145
VO13q-11lh7St1gd7JPI3Q,3.5,14447,101,563,2601
c-qtFVPutboIiJASZYrwuA,3.5,2433,14,135,401
Alk2AVNg3wTrI4L1d-krZw,3.5,1413,13,73,238
-XQAYmeTFv4MR-M5XAZmWw,4.0,11438,121,316,1922
KHv95Q_JteB-LMQF4F1Nug,4.0,8467,46,349,1674
t6lvhOMRI0_AJrEqA7cd3g,4.0,1055,16,81,194
8ZQc4awuK6_yvcERvczR5g,3.0,2565,18,170,501
sBw0ZgTVeRgdOA3sfGIcwQ,3.5,29096,200,812,5595
yeKb69ODd91AM2hwxI6R9w,4.0,365,3,36,56
aCMhR8XTu-f8GgMHYl0ipA,4.5,13312,128,379,1971
_0UC6YiwhkgLOJWxMmMQQQ,4.0,792,9,64,142
FVMNscifE7cm9XkDTsmx3A,3.0,281,4,7,31
8xHMwZ2zvLD3BqHr1KdRHw,3.5,302,3,33,61
JuBygU4XDjqSeW9okyvbsQ,4.0,26326,261,567,4457
FKUr60rmeTG9i_1EIisgkQ,3.5,2604,22,285,591
AYF-t7Yge-3mn2StQiEXvg,4.0,10567,96,368,1895
4dIzmqGAhFIcuHfI8CySig,3.5,12328,73,462,2064
-zIIYtZMuFPBXI22kL0KXg,2.5,781,10,66,141
25fxw_jOqZtJwl18cCarIA,4.0,82508,553,1422,16359
qcvFNvkneWv1zePa3Uq6-w,4.0,2576,27,210,426
obd-z3P4N5WOwXVvAKtL9Q,3.5,1389,19,109,191
k37F9y2etFNXyoxcjgOfpg,4.5,1225,11,77,206
ti-XLAu4mdfucsyqFRQ69Q,3.5,1649,18,98,315
NMYXPFV8V5uOi9wUuR3mdg,3.5,7402,63,227,1129
G6gnepCj86TOkGmZCVvFcw,3.0,2770,18,373,715
OK62swud0UWKwF3ivxHZNA,2.5,358,4,32,73
WAqACt7FfSFcJs-gqysIlQ,4.5,1913,25,93,329
zaXDakTd3RXyOa7sMrUE1g,4.0,660,5,45,106
m7L0rAVHEAZ5iXUSQX9qhg,4.0,1040,13,85,170
8ZM_7YH3BgiMAvN0yY5g_A,4.0,415,3,40,87
nCNrS9LrXcqG0T-rziSZRg,4.5,61,1,26,28
I50VD7XhcdQxqEuV98G5rQ,3.0,506,3,33,97
ABuY5BfvIKR3-Km3F308WQ,4.0,803,6,51,121
gh3n-Lf1udKJlR-gGPK93A,4.5,7919,81,325,1514
9GHHH-edaSLwKZahZTdM3g,3.0,8298,68,329,1471
YgcfTMFWAjtbB9mNZYS1cQ,3.5,1462,14,75,227
wbhMdFpzFvh10_0RlAv6dg,4.0,380,4,40,92
SKtXj6-4ZGXxTr4eKWvNeQ,4.0,2413,21,200,459
oZaCeojhVeBMvcjk_bFDag,4.0,700,8,53,122
e-5Vy_iwz8fH5EfKkiuWgg,3.5,1634,9,133,332
rj9Gt5Sifo-iN44vSfdKpQ,3.0,825,4,75,193
xZoyDn7ekD4ue_liS_nqMA,4.5,664,3,64,147
raBq_cc3L7xkVkbIf08BKA,3.0,2186,16,126,416
fQfIwjaftsOOOWKB3UXhtA,3.5,269,3,26,51
-2NCvK5807Nxs9GUb2Eo1g,3.5,2491,15,160,478
SWxTMGlqiZRgdacTgu2MeA,3.5,16863,136,549,3428
DKuFuQsYljAejfmiEG9rDw,3.5,2328,13,56,165
BZukyg37Vf7j0oLJC24LHg,3.0,228,3,35,65
IYVGbbABepLZ8j1bvrycLQ,2.5,1218,8,91,230
NleiJA9dpfKjhxe0cCD1MA,2.5,2072,6,138,343
W0-FuAN2yFAsJf4FPB9J-Q,4.5,313,4,26,44
ltOSimyqNs2J7Bf9vj-CwQ,4.5,4518,21,212,813
MyjfGiojLzOLAmxpd3Vn-g,3.5,588,7,52,102
Fl21jEU1D2m57FG8MXYflg,3.5,1056,13,83,207
Bui7TEFaPwuZtW5QQg2oFQ,3.5,6689,41,247,1229
eivj7F0pjWJvDeuKFExC2g,4.5,5316,71,253,1000
fC2nbJgAazYnLK2pCDineg,4.0,3188,37,162,615
fXpuT4mNzxzUZbt--vqzIg,1.5,109,3,13,13
sJOtoLRllr0FCF9dSB4T8A,1.5,62,1,35,39
0UWfvm0ah-8DVSm3nkbsMg,4.0,728,7,52,122
WdbFN-4gIIWWIxP0sa_HRw,4.0,1146,10,100,230
DlLduXXSwjkm7OL4Z1iH1A,3.5,1306,19,108,267
VXg0O0vuuOgNTqTGp9j7gg,3.0,1011,11,94,203
YqjE2e5RWccFsKwxOFEkGQ,2.5,2246,9,188,455
2Yn5IgbAOtc7_bT0g47bQA,4.0,670,6,36,88
LMIIt37FvMUSZJy3J04Wsw,3.5,9791,74,418,2009
T19GPqh8wFWOc8XlDBOejQ,4.0,384,4,31,56
f0PiGh5aBV15cNCYrnsW6w,5.0,808,10,43,95
u37MZNUTDE3ijQraArwLrA,2.5,1169,8,46,153
y3Wkggu97xy3WAb4M4jYjg,4.0,2725,33,119,464
-_JBgygYYD_UkuD-GVTp6A,3.0,539,11,39,95
Tv8wNut_lhraPhJw2N9xKQ,3.0,2191,15,103,334
h_DZ88RQR3WnzyhJKhcbTA,3.0,327,7,13,38
okIe9wrzZuGa38O0WC3I9Q,3.0,332,4,23,39
ui-RIwga_tLd5fZeQyf5rg,4.0,276,2,52,70
K3ujPUNW6NNIZv_hRI_yrQ,3.0,466,10,22,58
44zt-uJPM4BGs46DaNO98Q,2.5,218,3,14,35
rE8048_DAh3Z8Tep466wrA,3.5,4796,40,213,881
attIWW_riwwKP1CRWgdCbg,4.5,2158,16,138,399
cgFiAUsYCiw9RBX4SgkZUA,3.0,15714,93,611,3280
f144FF1ZGZy8vCLyvuo8IQ,2.5,153,1,21,21
rgeyIXOiEGabJwtGCVp0Ow,4.0,1309,19,86,280
hdOREU_bsb8LmfQrTjaxYw,3.5,313,8,49,54
4bPX-yR2hEYK1gdvw045YQ,3.5,1748,7,135,338
7Inf7-FiFC6spGyGR4uQAg,3.0,4921,40,255,1048
XcwbN5fDlyl8qCttcdDGKA,3.5,1692,15,125,351
Qd0fyF-wB_1bQwSB34ggkw,3.5,17697,153,393,3604
FX7YsjrfxXkat82yoj9Aeg,4.0,11448,121,294,1805
rRh2vTSerDRRKHIFArJEWw,5.0,198,4,16,34
3zbSWZEQU7MzcuTzsU_7mA,2.0,371,3,23,41
Xp7OA8gz7zDgB3I54jyb4g,2.5,2343,21,112,349
JiWGjXYrq4ehNeRhKSZqcw,3.0,4909,46,218,1044
uHeIhaozBhVKLO-bIfTgfA,4.0,2424,30,153,511
esapuP4e4A8FDlBhCE8S-w,2.5,594,5,71,132
IMGW6y8wHQCfr_6k-YXg_A,3.5,19427,186,558,3369
QtJSfc2kMLacyfyL9Z6NUQ,5.0,742,3,46,136
WjE0QB-IlVUaHuiTJ6lYjQ,3.5,205,4,27,34
Tuk5vyUoBB96CuCe7lcNug,4.0,277,5,16,37
xl1mNGpaoLdiVWj_D6-L_A,4.0,20253,123,523,2915
y7b5d8GI9h2iQ9Dc7-PA4Q,4.0,618,6,49,91
9RP4fZf3ZYvwtB4EkbHd4w,3.5,535,7,39,67
-8Y3bN1YmWZa73FJSjumlg,4.5,674,6,40,101
k_1cVKOGI1T-gqIE4Z4sdw,2.5,1078,6,85,218
TQJgBjbwr222OBcYpaxoxw,2.5,2963,24,184,638
z0lvl46xW3jtj8S7E01kBw,3.5,10741,90,399,2364
JSl9JtunfJVfu9AwtiN1ww,2.5,1028,9,52,164
UexMw8s7B1J-RtFOQtCCsQ,2.5,8654,54,329,1499
VZG8spL8Tqffg9KYbBrDvg,3.5,7832,73,327,1513
KBgTYKAHfIZ0ypO6zw2gjw,2.5,1050,8,66,162
guOgKiPG7h60bWmHqFBCdg,2.5,219,3,9,23
dRxHjt418sFRxhyC-FwJtQ,2.0,248,3,24,49
kvyYxHukGKi2ILJvDrLMsg,2.5,335,3,25,42
IEmqrFe96NOhU07TA0rZdw,2.0,1564,7,97,262
xx1JcTcQ2mM9cCpMxyNJBA,2.5,229,3,10,21
p8zOYTVe-xmBPVtWcJayAg,3.5,1733,16,91,294
WWbPM20A8agePy7-X_6AlA,2.5,14869,72,422,2447
sbnCG3-CouwIu0jsApfCsQ,3.0,2380,22,95,380
YuVHssS9VHSnvOu1wza8MQ,3.0,168,4,12,19
7Db8jAZywn6hdXuTHI1IgA,4.5,8189,67,275,1293
zN2KzJECaUg2aXrQjylq_Q,3.5,801,8,47,121
4LYtqBsIiTEwtO5N42foCw,1.5,246,5,29,42
qyHsF61vhG1PsWi8PoNAYQ,4.5,4335,48,238,964
7opoNCBk1B00claYpFx4ug,3.0,5009,43,192,840
kz12EsdDhr4Y_yZ2OlAQzg,4.0,5769,65,259,997
VX2Jw-AxnE87KS385HDuWQ,3.0,2858,21,141,496
nbFp0MHifdhAfOWRtM27GA,5.0,847,4,78,187
JQ3kJQNnX8XNbdvcbjiiKQ,3.5,1631,16,79,278
Kbnud85y88SIzCVGPm990Q,2.5,990,12,43,153
YTqVNio8r7lXZUJn6vAnoQ,4.0,47,1,14,17
DntkMrzlbFPdOdxJtEWLBw,4.0,1941,19,114,290
t3biB9BlC201XRUNjG28rw,3.5,6315,58,157,703
Vk2lc81v4_iO54GzT_fLmw,3.5,10739,104,350,1747
aj2FShIkWIm1i1qnTljP6w,4.0,5344,47,256,1110
c2RzHxH4DQcH4A-a5FpidQ,3.0,586,6,30,74
9--E4-VSXCWgWF0y1AEskA,4.5,438,5,36,69
Yi7YURdTAIb-evY9WbYLog,4.0,316,6,21,44
-6Roo-EHgSdUa4rP3tWyRw,3.0,9340,85,379,1710
yy7m3Fvuq_RWsOOst4RDUg,4.0,4868,45,205,1038
XaJQnEg63F-CJ9kNhcqOjw,2.5,870,12,64,154
UDxk5pvPlNvEtFM4KQ9m1A,3.0,1930,16,163,406
s_4YrTTz1OMAa4UQs-wxYQ,2.5,2517,22,140,459
AH1PrZQDIdjpKgy1z8XxUg,3.5,1518,14,108,304
wZSoje7l9xEGieeHmKRgBQ,4.5,580,6,26,78
MOGTTOxyzfDCj2W5RR7__Q,4.0,2022,18,107,345
5TTr08j2W2Fv8jkOCvUm8w,4.5,1704,7,114,291
QpWBVqsrJSXf7blGQEP9WQ,3.0,3179,22,148,582
35YT9GKJtATOHNooE7mdoA,4.0,1767,17,138,317
TVdSOwbZ-pcRbhOYCiH9-Q,3.5,1488,17,83,239
2voFtcyopB3jJHepouMWDQ,4.5,2769,40,148,518
CKe5v8J_l1X4Hkd2xxEJSQ,3.5,996,15,142,237
ypxdw4etbusoInHOwwIjRw,3.0,5070,38,229,800
rSp6g87Gska5MpIt7QRMvA,3.5,2210,23,152,408
9vibaYyhWi1VD5il16sMEA,4.0,12584,108,634,2128
ZflDmdHvIfJve7fHgWmI6w,3.5,76,2,18,21
KEMZ3xsx40ztzUkZr_ciIQ,4.0,1183,9,110,212
h7GjXjxIhMVChtYeYvdX2Q,4.0,1126,13,86,225
pPwYr1PwAnsNaZllnwQ_GA,2.0,621,11,22,75
KNOIToiUNm59Tmlq5phYhg,2.5,2551,10,189,523
uTl34lB2jvFARCud-ZI6Mg,2.5,1441,14,79,245
etYqrJTCE2_yMxhqdnGd0A,3.5,8314,88,268,1298
nk6_ipMkmUvUtq6Xvncf0A,3.5,17472,161,387,2675
lCRCiRF3sKES8Vw9y5AvLA,2.5,502,6,29,57
0QtGVVXoDnKJxPA0v2yckA,3.0,2546,18,181,514
KeJEHK-3LCsA7S3HckOvMg,3.5,7095,49,320,1207
QQ0VZ1ggQO1aVf_GK6kn5g,4.0,16789,133,528,3443
0JAcUlqAKKH6Z6whR-Rl7A,4.0,895,3,110,186
p0IjTgzRuUXKFtdWNFFg6g,3.5,2917,20,159,606
F83LblellrJu8dFdu3U2Sw,4.0,1723,14,113,291
pUHxbf2_Dz9ky76PJRuf-g,3.5,1089,9,77,178
CjSOQ8_nZZMdF0gLYbUOoQ,2.5,13095,136,423,2362
CkZGGAx9Atvcmchkh7DLrg,3.5,5031,46,152,561
HzQ2B6p8OuHOtYnXPqvd8w,4.0,5693,66,200,850
kUGgkYxXxHDhD6mtpQdUNQ,3.5,327,6,29,61
ZTiP-zNqMENWV_KAv9FBvg,3.5,1344,14,90,228
MwaFQkJxzqg8G5_hTip99A,3.0,10529,110,382,1860
S8duZhuPOTFc2RbADd9xzg,4.5,2543,16,144,447
1kyEOjhNcvHbeHtHKtwHyw,3.5,1413,17,320,514
DK7NmLXyJfLi0Avhah0nRA,4.0,2669,11,190,488
8nO8aa7G--kKGdTRWCY4Ow,2.5,182,4,15,27
GUDpLStI8B4y_I2-Swiceg,2.0,481,4,38,86
6L9N6a_R57QK23n1C-Rt8w,3.0,2030,18,133,469
WIDirdkJRHSlmRRpNVmeyQ,3.0,1214,21,86,242
-OJfKPJxfRBcPPZmY4b5dA,4.0,1050,9,85,169
px45x27eir8RyN6YjX-VWQ,3.0,8903,84,295,1481
2hTbsev_7hF8Fyla0zoUAw,4.5,242,4,90,94
mahnOAHotFXnooJDFM8heg,3.5,126,3,13,22
bkF_a54ODbT3vTZdtI4tiw,4.0,1768,27,118,418
T81Yc4_Mu6hehSs7F1yZLw,3.5,1301,10,91,240
lVq2xqwCnccZ3oI5CdAD5Q,3.5,2921,29,89,277
-WXH-j7_Ugm6phJDdY5bzw,3.0,2042,20,95,302
6UqTTEns7f6BU0Q1qlGFOA,3.5,4338,34,220,877
6Efw9SBRpyFZtFhEL6y52A,2.0,275,3,54,72
a-X4VbmTW0yzykWmWyoizQ,4.0,6831,27,314,1413
8sHbgZhxhaHTyvwm4IAfWg,2.5,6764,73,263,1367
p7pJGlRlu67kHmlozLOo9Q,1.5,277,3,21,52
3n9GkctOctC2ev07N1NXRQ,3.5,4258,21,221,659
PGH5N9zJc33RPy0QpNS9GQ,3.5,9119,73,304,1724
WBfPco3j27X_IBpZ_PDcUA,4.5,1690,16,63,225
7CTf4W-KT4h6uA_zpGZp2Q,4.0,21838,179,696,3962
oXQmAzFj_qKNhUGYGNWLSA,4.0,3048,40,151,570
W1YUWp3SUsKrv05HC1i4CA,3.0,446,5,53,73
4_czyqhmKzymIHlKxcFJ3g,3.0,534,5,56,107
YX8OK0KOb56VeqSjPxcP2g,4.0,292,4,40,73
Fbg2LpTLb--d95SSndDntA,4.0,2412,13,133,437
vgld4MlhcizQkgLfjOgpfA,3.5,471,5,36,81
FccyNVTfKa2Dj3asXi10NQ,4.5,1220,14,107,248
8qrICL2tS2Rq7b5gxUdQwQ,4.0,8640,93,334,1717
CQRYL_4Mu3215d1F_C0Qpg,3.0,813,11,42,93
Rw3wYzqmc_GtI8Ocx2xHUA,4.5,55,1,21,22
bKXiuZuAWoYLsEgDGsZlvQ,3.5,1414,14,91,255
-yzl8Zm-MmSqx31VN7vB0Q,3.0,9301,106,275,1702
p5YO2FZzwktYgtKOUynM-w,3.5,911,7,52,143
0dAVMBoh0nK56--4dGAaDA,3.0,571,4,53,124
dUz8Sa9SY6l_nIEyUhC90A,5.0,349,3,64,140
l74kl8xTQN-Bx6rXbOPAVw,4.5,283,5,26,50
NCaqjfK-3uCGhixn4LD7Ug,3.5,484,3,137,158
qixbpFjrfUf6yBtr8ocwag,4.0,2682,50,113,489
WTK7mgUEBNp4uzNm7jCa-Q,4.5,3080,20,175,532
QCTbIKA5TceG3WqtCclCIA,3.0,1993,16,103,334
kr9gePdA-ds4ltXLlH3M_A,4.0,8507,73,312,1670
Wg_mT_9_tLbsLfzTtnOBqA,3.0,1435,24,108,309
9vr4pVexU8hhnbQBJECzmg,4.0,4672,28,192,620
g58NW9q4F09wTMiI7EIjmg,3.5,1243,13,73,204
coo6eAhevrKNC1azLAfGaw,4.5,13268,94,377,2901
gmyzz54jR7WzTu2xGnA92Q,4.0,678,14,38,110
YBFK526tkKzd7AandD4-2g,2.5,274,3,14,30
MW-PC5Vpb9Gaq8cGxJ8Chg,3.0,1041,10,78,167
YWDfUAPwScdW_9GmGskkZg,3.5,233,2,16,37
8rQK0peDoWRM7jO8-heLwg,4.0,493,6,154,179
8Q5EMFF0A_oY85ttn9tn-A,3.0,2148,15,112,375
kog6g98NVvAhpKUaW9LtoA,4.5,1927,14,135,377
LZghZl5RVTeR4p77UpXipg,1.0,345,4,17,41
vIvb-y64LQCGT01xjT8ATA,3.0,1388,18,217,325
DvramQmJGDa9M1NgYrQiLg,4.5,363,6,40,65
WXpi9z1bqF9raZSW8z70Ow,3.5,3083,28,170,510
8871Si56d_dc0igE3TRpgA,4.5,8677,96,338,1738
W010P4plDADjo2SFq3OvXA,3.5,12303,124,315,1935
VU9WjRX0DfqodzAt27Z4gg,3.5,857,8,100,218
OVPy60VF2bLAy4iYN0fp7w,2.5,279,4,16,45
BdHq8McnAFZ_TinhrQrNuQ,3.0,7421,75,283,1363
v87MAIz9ToF7GB2eqZc1Yw,3.0,386,4,87,124
57PLTXWFJux4pYGnSQisvA,4.5,4354,32,242,877
2AB_43WAw7cNvMcm-QEliw,4.0,7171,101,249,1412
IF5n-Y1n4XKGM7Zugkoy5A,3.5,6722,44,345,1436
_VN5hYv1VgNIBgwxTQZ_1Q,3.5,53479,480,1032,9804
e-eqwMPMDXPYSdwkQbYhSw,2.5,3645,23,184,748
dTpyszCle1E7vBVOBmEcYQ,3.5,64,2,14,18
Mie70jRF1hdVqiB7G_lIhg,3.5,6835,39,319,1224
lR-W8lgodXkydiU6_AHiiA,4.0,584,3,57,110
gPmoQaWDiVnkUWOHY-TYOQ,4.0,21605,173,486,4383
dpwiGCOjTQC6WBWMJJGB9Q,3.0,5968,55,164,1001
E3n771Z4Uqy46WNaFS5u0g,3.0,14196,130,330,2232
FZ4NtNg5tJV10wVEcmvGKw,3.0,1735,16,99,321
QOWcZPFc0RhErUcNGxT-3w,3.5,725,13,65,140
QOGBsXBtVlh594slkrksfg,2.5,309,3,41,92
QdXzLnSFvrqbpfcS2Kf2mA,3.0,123,4,13,21
T2NesLFF9Xhlho3iw8i53g,4.0,1508,26,100,302
NhdIZvpM11d720SskLvRpA,3.5,292,4,26,51
fHGb1TiZbYAFxxwADhIYQw,4.5,2862,34,154,527
reYXVQH0w2pv9Q6lvTPrHw,4.5,322,3,29,48
ghnQrKVEjiWZ3UE1XDzJUQ,3.5,27834,251,631,5524
hmKTkX9pO5axpnWcOGHr1w,3.0,348,5,37,78
QowjF7UFjVfx9-5PHEpoyQ,3.0,1986,13,108,328
77BTvEd_YG_2JUSWeDmGwQ,3.5,18899,182,457,3242
O5sdmXByyoXYTFODjn7dAw,5.0,366,3,31,46
z-SoOQCr5WEMYTba-H0yJg,3.5,4141,30,263,979
vqiAO2bD5CcPaiQVhJlLJQ,3.5,4249,31,261,817
hxU6xPTrOz2qKAsRz58hEA,4.0,179,3,13,18
Z98h1BhssZeFfZvcVTYOpw,3.0,2939,27,137,509
SH8daZRCv3N0ZeUANkHdXg,3.5,2948,20,204,657
2ekt7hZde4jY7fenBuG-pw,4.5,699,16,66,148
IjmbpK1bK8r3-c4bBb9N6Q,3.0,211,2,77,83
-5rFC4EVrT-v8g1PSEf6Xg,4.0,7191,67,293,1314
hasQSSQ7XKNsvPbQ7PGboQ,4.0,1109,10,82,185
dJ6XrN6xbb9keIbd_Q3VdA,3.5,15329,155,466,2799
Ylc912KiXZkmlxY3b2lC7Q,3.5,1147,9,84,205
FF5ztq7j7RWGIhpw1XB1zg,3.0,576,3,57,96
2TV2oOR3qMWKhTFQNJFFnw,2.5,1965,15,89,269
n0spBYxPB6Espvyko1lNuw,4.0,1338,11,71,230
d8FP2gvMoeiiIa5mdn8jZg,3.0,24527,195,708,4423
iPxUYvC8tgt5rBr-IZlSeg,4.5,4353,60,205,951
